"ont"	"label"	"sample"	"dataset"
"CL:0000037"	"HSC"	"hematopoietic.stem.cell.4"	"Blueprint-Encode"
"CL:0000051"	"CLP"	"common.lymphoid.progenitor.4"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.1"	"Blueprint-Encode"
"CL:0000863"	"Macrophages M1"	"inflammatory.macrophage.1"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.2"	"Blueprint-Encode"
"CL:0000863"	"Macrophages M1"	"inflammatory.macrophage.2"	"Blueprint-Encode"
"CL:0000037"	"HSC"	"hematopoietic.stem.cell.5"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.3"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast.5"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast.6"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.3"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.4"	"Blueprint-Encode"
"CL:0000556"	"Megakaryocytes"	"CD34.negative..CD41.positive..CD42.positive.megakaryocyte.cell.3"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.5"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"myeloid.cell"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"myeloid.cell.1"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"myeloid.cell.2"	"Blueprint-Encode"
"CL:0000890"	"Macrophages M2"	"alternatively.activated.macrophage"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.6"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.7"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.8"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"myeloid.cell.3"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"myeloid.cell.4"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"myeloid.cell.5"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"myeloid.cell.6"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"myeloid.cell.7"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.9"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.4"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"endothelial.cell.of.umbilical.vein..proliferating."	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"endothelial.cell.of.umbilical.vein..resting."	"Blueprint-Encode"
"CL:0000890"	"Macrophages M2"	"alternatively.activated.macrophage.1"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"monocyte"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.5"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.6"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.7"	"Blueprint-Encode"
"CL:0000890"	"Macrophages M2"	"alternatively.activated.macrophage.2"	"Blueprint-Encode"
"CL:0000625"	"CD8+ T-cells"	"CD8.positive..alpha.beta.T.cell.1"	"Blueprint-Encode"
"CL:0000451"	"DC"	"conventional.dendritic.cell"	"Blueprint-Encode"
