NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	Tregs	CD4+ Tcm	CD4+ Tem	CD8+ Tcm	CD8+ Tem	NK cells	naive B-cells	Memory B-cells	Class-switched memory B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	DC	Eosinophils	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
A2M	3.0452707093910445	1.4581188899565642	3.629687334877247	1.1316742894316203	1.2441000221006115	1.2093536464877053	1.3571356377332233	1.8579550440463592	1.8137041544992598	1.21851719438009	1.2917820223063705	1.2809954548953137	1.4161421182491294	4.222297924025946	2.212873872807757	5.547034085668951	1.6111855239150432	276.89920006138357	1.0751552304385126	1.910449380863232	1.6312043843590789	1.0298655183067604	207.79250906649554	905.8612436322549	11.51375198666344	200.27652716912826	1.0689150073485172	1.2756053078826035	1.213802515001261	7.225789544977026	2.793313340007006	1.0159915389369516	5.942575482232328	55.850688880217604	1.0045041655470222	14.12423534888491	11.115484051277841	150.49360705769317	4.89803478467483	1.6048337596764632	1.8472642518566191	1.9770133863434558	1.0005231891423674
ABCA6	2.6832084536787253	1.326953000390575	1.3118503412574265	1.0720518022890086	1.1559126271182427	1.1287283410878934	1.248992024130135	1.14847897617478	1.0737141367043999	1.1370542952019473	1.1978431337224096	1.1879747690054443	1.299718035111995	3.681312696678863	1.3752701270532626	2.0712822594985196	1.3348818533640459	1.008269279904197	1.0382773773434646	1.7227554978105735	1.4792736497076806	1.0159598773900802	1.8143951089499002	1.1108743173194404	6.199726815375595	4.513253924736291	1.035048558955241	2.967013858515393	2.3197361614922496	7.341708418187409	9.157292908485736	1.002560056859509	1.1060835420682151	15.802615711549398	1.0013515140007265	1.8164287611223773	3.278157197540784	88.24781834062635	3.6531274164542706	1.5622386669277977	52.994928490231786	1.000877226253766	1.0000369465651608
ABCA7	61.283636858878495	12.84995723750398	1.314253067030688	30.28852944668506	36.84641938892642	51.10197750803767	35.763870551236906	27.762003564455625	37.31988694284873	22.404586209307322	58.23687525404007	54.11083289167367	35.84162035486367	1.958433688405187	2.0939161782906774	2.0740644509546957	1.337348273544325	6.44603225792771	27.644244849211063	1.9030636590752044	2.7997377462661217	16.83968554155406	2.206758501288081	4.1217105295940115	1.5594622947202246	15.235940176700964	411.96912169252124	166.455142115736	1.1891843056420823	1.2454101445024315	1.3725313027498456	3.6407397162926234	2.7439398883060107	3.9558314551848768	7.376777756730528	1.732453140774876	1.8041015187481066	2.766420713738434	1.073499079202723	5.056426343999089	1.372140356352413	3.2403685982462545	12.562562776589402
ABCB5	2.673494482335954	1.086828112371145	1.3069901364429675	1.0597823674167999	1.15347777470688	1.1264186187523226	1.2454375241203088	1.1458224306116196	1.0718768304394346	1.1343693223533247	1.1948944218865647	1.1853781907048753	1.2967716841024304	2.2272979273278053	1.6610378421402898	2.0594712567566766	1.3290602464454015	1.0072584543069096	1.0374914740544536	1.7134989454620564	1.0558948397575627	1.015672015727673	1.0229514713881884	1.0318000496583877	1.004574904725847	1.0144652539364922	1.0342477114998836	1.1824064593201937	1.000438759789732	1.0029278214721717	1.0037842260068528	1.0001999638992913	200.51594689097277	1.0802880695786488	1.0012988193616432	1.0059102443116597	1.004207524074288	1.0	1.0336345640742821	1.0137817434090088	1.0192916642375303	1.0008104999154674	1.0000185643947272
ABCC2	4.819493360135469	1.4529035668269379	1.8989305069196294	1.6915507390793239	1.6018056975409982	1.553162411032702	1.7832631190001385	1.591440801360222	1.4156450341797242	1.5764945184120607	1.7326820930954179	1.6570174350928868	1.866644244695649	2.8023016853847853	2.0053300062751096	3.610223878477946	1.9330839346609743	1.0887892426672985	1.3040531121778935	2.571181160815966	1.3742977553158247	1.233532642407431	1.2178426678121317	1.2759779467400327	1.066118095150113	1.152122797776241	1.2906391001581636	2.0568112794291964	1.019308500991937	1.04851605544789	1.0581826643343581	1.0179728608830407	41.52581296726356	1.4636735517465207	1.0337829425629488	1.0825941089254416	1.060014175351828	1.0078679022901573	1.2911752027671262	1.1501998002047114	5.072337997090693	1.025322228179399	1.0084759826640797
ABCC4	3.8981649676346106	2.1524657373378817	7.876417093102716	3.0184010065644125	3.9336818364564854	2.9949600187091936	2.7348327029193205	3.006509558999074	3.3170642074245	2.261447605807671	1.6769649987253903	4.180013658499346	5.277429849789551	4.3447930753572965	5.401307357675224	5.0229533014249546	2.4745719106405093	2.509045028848611	3.3955083569260602	12.608557118829914	109.59352438228971	1.1908307546174115	2.6153793055641263	2.366928434207134	3.9393088972197603	6.4482874747816155	2.0164682166569	4.767600257139291	5.374814473527571	4.946942544010569	13.412899760681789	5.107009143767284	4.5940943555314435	3.8166431135103065	2.336043837998144	4.4785773267774776	6.667097738905655	1.3456409861831558	1.289516285990937	61.0435022512097	8.08506460594782	3.4309944260587573	13.049740948562306
ABCG2	3.8573082527166407	1.439602177428034	1.8800394952738684	1.3751280473046803	1.584147180327029	1.5372779919023114	1.7625157737682617	1.5736047984073815	1.4022083271458063	1.5611572549286916	1.660434239747214	1.6390288318483786	1.8475774457287188	3.4790507098847785	1.9846912918413997	5.309214085116053	1.911961502737085	2.750159970866325	1.292593880089402	8.237305165870156	1.360430803832203	1.1618014474974536	4.297822992883269	111.26598720466362	3.1654724784655226	1.1449855121683739	1.2814917633519192	1.6386249295581394	1.0181586187479867	1.0464992012482501	1.1037793360152155	1.0244479779706386	1.1444325302108584	1.58217317990881	1.3339422192034218	3.3202236500120152	2.865525627769172	1.2104161796714539	1.3895784570870782	12.392456923587432	1.1905188843903813	1.023639427237891	1.0078788745321494
ABI3BP	2.24415236634708	1.0280738638066769	1.1518756458469914	1.0202086895323677	1.0556954313293103	1.0451738772955024	1.1084007563701839	1.0533535564580006	1.0237463199883947	1.048964126109917	1.0843220871633494	1.074314139900734	1.1440959634889556	5.204971860367096	1.1969478595617908	1.7236252227296907	1.263829852337905	1.0014506644419752	1.0133358996534672	1.4594767669300568	1.0175930380313012	1.0052964442685595	1.0082645395905105	1.0114280838900096	3.124579286072576	1.0048583082535028	1.0118367792155716	1.0760596144013577	328.57397706550296	5.314614025019755	3.984965481550372	1.014174231481073	1.0035549609287406	8.54936696696829	1.1197741985584075	3.1027065026889873	57.07824159460468	49.64510586137954	1.0618606465981184	1.4326261538927287	41.24667226827357	1.0	1.0
ABLIM1	1.0	1.864087695670592	26.351104716915764	133.22466478469823	44.04999718907075	60.23085541683099	40.63575332289901	42.59032996875985	28.735674911602718	29.25163403251852	37.28464947340875	32.01291336538016	23.81418417334294	27.955298689838614	29.496254976632407	26.687770249663032	34.40274165708436	1.0	130.8119258107402	3.835761977815286	16.335670821132044	1.4724136234327798	1.349235251333399	1.1964702009865156	31.299747493346928	2.533153017304652	2.0000535010033094	25.14648191226206	9.655571821353268	1.8663954915443557	1.4682748271981305	15.739774144493984	1.0	46.90996744494554	17.226562868741123	16.971939652798355	4.006369318901737	87.46945499536746	81.24132983861415	1.345775369539662	2.367536451296656	1.596356469479896	7.736290966652423
ACACB	3.670387346176171	2.1352625731546135	2.8831578107272633	6.710717504785733	4.208466209193063	4.456907014142585	3.5853080284779426	3.087698490976347	4.076711296389624	1.6436177113889772	4.842306016698219	4.621830294476581	4.578489507309646	1.9755502307137442	1.8767847059230367	1.136607426911155	2.7338157668577567	1.8891729492027083	1.5153508996914917	1.0849153373820635	1.0094657090925274	11.061251616790898	1.0	1.636132409278906	1.0820591440380327	1.627659874916765	70.33338531934024	6.854032630671005	1.853739668396063	1.4043963439308023	1.6692033744427657	1.0195531398354043	2.6850204681105527	283.28735840923673	1.0	1.0770038087379592	1.0621586471445683	618.213701924884	1.0002510534786953	1.074480507980076	1.6751837173856925	1.0	1.0051707949796111
