NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	Tregs	CD4+ Tcm	CD4+ Tem	CD8+ Tcm	CD8+ Tem	NK cells	naive B-cells	Memory B-cells	Class-switched memory B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	DC	Eosinophils	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
MIR7-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14.85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MIRLET7BHG	2.91	1	1	1.04	1	1.2	1	1.04	1.4	1	1.05	1	1	1	1	1	1	1.045	1	1	1	3.39	1.35	1.14	6.41	1	20.55	1	21.865	7.835	12.825	4.655	4.855	1.17	15.235	6.855	14.91	3.42	1	18.335	24.34	14.345	2.635
MIRLET7G	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15.09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MIRLET7I	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MIS18A	1	1.37	15.325	2.8	2.59	1.75	1.48	2.17	2.92	2.59	1.765	2.33	1.3	2.21	4.6	1	7.11	3.655	2.19	12.85	4.02	6.68	4.49	1.795	3.725	1	2.03	1.01	2.225	2.705	2.6	4.885	3.115	1	10.76	5.375	1.935	1.12	93.14	2.645	3.55	7.355	4.32
MIS18BP1	19.14	42.595	35.07	18.84	16.97	13.75	13.33	11.84	19.3	17.22	53.535	31.67	53.62	75.145	45.77	79.61	68.81	28.075	26.32	33.66	32.21	149.12	15.69	24.47	16.095	50.88	38.6	18.345	13.425	9.415	6.565	10.12	8.51	1.87	13.205	15.14	6.08	10.29	3.235	14.805	13.99	16.035	10.17
MITF	1	5.355	5.01	1	1	1	1	1	1	1	1	1	1	1.1	1	1	3.21	65.23	1	7.85	5.23	3.87	41.06	64.225	1.175	14.26	1	1	14.25	2.675	5.73	3.33	212.48	23.96	1	1.425	3.065	8.57	1	2.09	1.665	1	18.06
MIXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MKI67	1	1	2.475	1	2.22	1	1	1.31	1.55	1.18	1	1	1	1.475	1	3.16	3.41	1.085	4.11	51.13	21.63	22.49	3.17	1	7.97	1.02	2.07	1.22	6.825	3.245	1.29	3.055	9.165	1	21.945	15.725	1	1	1	7.88	11.435	12.58	21.97
MKKS	2.58	4.865	32.44	4.78	2.82	3.3	2.78	3.58	3.9	3.55	1.515	1.92	1.72	12.76	4.51	8.25	16.53	20.61	2.84	63.92	36.77	12.97	11.4	17.14	2.475	8.27	2	6.68	3.325	3.165	2.48	3.555	1.095	2.63	5.185	2.565	2.45	3.64	61.795	2.12	1.645	9.275	3.42
MKL1	35.66	19.545	10.065	18.25	15.67	13.41	8.29	10.84	14.69	15.78	15.435	10.34	9.68	7.425	8.605	1	5.86	11.865	27.58	1.41	7.89	33.36	9.04	11.135	10.125	21.74	240.23	6.975	13.425	16.375	9.97	21.2	8.455	6.03	18.51	10.745	4.33	14.61	1.33	19.905	7.115	28.865	30.58
MLANA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	334.365	1	1	1	1	1	1	1	1	1	1
