NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	Tregs	CD4+ Tcm	CD4+ Tem	CD8+ Tcm	CD8+ Tem	NK cells	naive B-cells	Memory B-cells	Class-switched memory B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	DC	Eosinophils	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
A1BG	1	10.305	12.635	4.3	16.3	14.55	15.05	15.29	12.81	2.02	9.45	14.16	7.72	7.435	3.635	3.02	3.58	19.84	19.66	1	3.29	13.17	12.33	10.92	1.37	7.13	13.78	10.615	1	9.795	4.575	2.265	1.585	1.31	11.71	1.46	9.875	4.48	1	1.885	1	3.995	13.875
A2M	1	1	3.145	1	1	1	1	1.29	1.57	1	1	1	1	1.64	1.555	1	1	355.37	1	1	1	1	270.12	733.09	11.97	201.81	1	1	1.785	8.015	3.05	1	6.3	35.99	1	18.17	9.99	89.42	4.39	2.245	1.715	3.205	1
A4GALT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.9	8.725	1.26	1	1.315	8.285	7.28	7.755	7.09	1	2.93	4.24	14.38	6.08	3.92	1	4.48	9.265	2.975	17.31
AACS	1	1.935	3.16	4.68	1.69	2.4	1.66	2.68	3.21	4.13	1.66	1.86	1.2	2.045	1.52	2.45	2.21	4.865	4	9.29	7.05	7.64	4.31	4.15	9.2	6.67	15.1	11.845	6.57	9.805	11.015	16.23	8.445	2.96	27.59	10.21	5.455	9.87	4.71	18.455	11.775	7.915	18.27
AARSD1	1	7.525	116.41	24.68	9.95	13.28	10.05	11.96	13.7	10.62	13.77	13.18	9.72	77.04	68.85	117.86	103.63	10.33	18.09	97.08	22.84	20.11	11.3	7.325	7.57	6.27	7.55	14.88	5.61	9.8	9.185	9.975	3.795	7.67	19.29	10.14	10.035	5.29	35.405	5.34	4.69	30.425	14.035
AASS	1	1	5.55	2.79	1	1	1	1.02	2.33	1	2.98	2.12	1.13	20.9	14.615	1.93	8.48	1	1	1.08	5.21	1	1	1	13.815	1	1	1	8.145	8.205	13.56	4.355	8.78	2.94	8.3	8.22	7.085	18.11	3.57	8.875	9.125	2.21	6.765
AATK	28.45	3.23	1	1	1	1	1	1	1	1.84	1	1	1	1	1	1	1	3.015	1	1	1	1	1	1	1	1	1.86	1	1	1	1	1	16.83	1	1	1.065	1	1	1	1	1	1	1
ABAT	9.44	2.94	1	2.96	1.96	1.28	1	1.53	2.55	2.9	2.835	1.81	1	2.25	2.485	4.39	1.29	3.705	1.88	1	1.39	3.12	1.24	5.085	1	2.05	17.59	1	2.905	1.97	1.025	1.81	1.565	1	2.29	1	1.825	1.57	46.05	1	1	3.035	1.765
ABCA1	24.9	16.145	5.96	2.45	1.67	1	1	1	1	1	17.785	5.63	2.72	2.775	7.525	12.02	9.7	43.405	1	1	1	8.86	70.5	1.4	5.255	7.76	68.63	1	20.755	15.125	63.2	11.155	10.92	6.28	5.465	3.455	18.435	33.01	1.56	57.135	10.155	12.565	19.535
ABCA2	13.01	2.86	1.4	5	13.44	12.39	11.26	24.68	44.98	36.3	2.575	3.3	2.09	1	1	1	7.75	3.585	11.81	1	1	12.95	2.35	1.54	3.87	2.35	9.07	1.63	5.76	8.11	10.555	4.245	3.53	4.12	1.845	2.955	5.505	5.39	1	6.07	5.46	12.47	13.045
ABCA3	1	1	1	1.64	1.27	1.49	1.25	1.39	1.82	2.15	1	1	1	1	1	1	1	1.06	1	1	1	1.36	1	1	9.84	2.03	1	1	1	1	1	1.585	1	1.77	1	14.36	1.08	2.17	4.425	1.02	1	1.2	10.32
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1.455	1	1	1	1	1	1	1	1	2.05	1.005	8.035	5.83	1	1.875	3.635	7.15	8.405	1	1.055	6.6	1	1.62	4.06	45.24	2.9	1.965	32.975	1	1
ABCA7	62.97	13.185	1	32.78	28.49	36.78	23.03	19.69	31.84	20.62	43.18	34.23	18.84	1	1.1	1	1	11.09	35.9	1	1.55	24.29	2.29	5.495	1.84	18.01	321.74	86.435	1.77	1.695	1.9	4.895	3.265	3.31	10.585	1.86	2.17	3.87	1	5.945	1.32	5.71	15.99
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.005	9.76	25.675	1	2.4	6.62	1	1	10.37	25.76	2.17	1.07	10.785	13.125	1
ABCA9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.295	1.09	1	1	1	2.875	6.03	1	1	6.26	1	1	3.89	17.75	1.31	1	10.775	1	1
ABCB1	1	1	4.635	3.07	1	6.2	8.03	9.46	18.08	31.39	7.04	1.5	1	19.47	11.5	5.06	12.87	1	9.3	1	2.26	1.05	1	1	1.405	1.02	1	1.14	1	1	1	1	1	1	1	13.915	1	2.08	1.005	1	1	1.085	12.245
ABCB4	1	1	1	1	1	1	1	1	1	1	38.97	17.46	7.43	1.475	1	1	1	1	1	6.24	1	1	2.69	2.515	1	1.53	1	1.825	1.1	1	1	1	4.795	1	1	1	1	1	1	1	1	3.49	2.615
ABCB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	109.14	1	1	1	1	1	1	1	1	1	1
ABCB6	1	1	1	3.19	1	1	1	1	1.27	1	2.145	1.77	1	1	1	1	1	2.375	2.75	18.6	21.52	1.43	2.55	3.525	9.31	1.77	1	4.98	9.365	10.52	13.955	9.18	22.155	8.69	7.215	13.18	16.325	5.44	13.61	7.9	11.21	13.95	5.31
ABCC2	1.41	1	1	1.58	1	1	1	1	1	1	1.07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.39	1	1	1	1	28.19	1	1	1	1	1	1	1	5.145	1	1
ABCC3	1	7.94	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.99	1	1.49	58.54	1	15.23	47.85	1	9.73	5.71	1	8.715	7.015	3.17	4.4	1	1	8.145	1	4.94	3.43	1	18.205	13.275	3.095	18.065
ABCC4	1	1.9	9.265	3.47	3.67	2.71	1.9	2.59	3.8	1.94	1	3.66	3.69	1.695	5.175	1.96	2.19	4.36	3.58	10.64	186.02	1	3.41	2.935	5.735	8.12	1.93	3.515	7.05	6.84	13.095	7.54	5.645	2.49	3.96	6.185	6.63	2.05	1	48.62	7.375	6.185	16.28
ABCC5	16.02	6.305	33.97	11.64	7.19	6.44	4.23	5.85	8.99	6.89	5.615	4.45	2.79	1.875	12.665	1.08	11.74	28.6	11.27	59.75	20.63	17.29	6.61	13.955	6.96	10.03	30.57	2	8.39	5.57	6.86	5.41	6.955	7.78	4.195	3.36	14.19	7.74	22.605	5.805	4.765	8.065	5.1
ABCC8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.31	1	1	1	1
ABCC9	1	1	1	1	1	1	1	1	1	1	1	1	1	1.41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.11	3.96	1	1	24.5	1	1	3.175	12.21	1	1	2.975	1	1
ABCD1	3.66	8.23	1.015	1.46	2.18	2.31	1.82	1.85	2.27	3.89	4.315	3.27	1.57	1	1	1	1	13.13	3.09	1	1	4.11	20.8	16.04	3.64	8.64	20.67	2.79	4.525	5.84	5.46	4.445	23.785	4.75	1.43	5.875	5.075	7.47	1.265	6.625	2.72	11.99	8.22
ABCD2	1	1	1	16.01	7.54	7.09	6.63	11.09	11.54	1	1	1	1.26	1	1	1	1	1	4.54	1	1	1	1	1	1	2.4	1	1	1	1	1	1	1	1	1	1	1	3.92	4.48	1	1	1	1
ABCG2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.75	1	3.95	1	5.14	1	1	5.78	140.665	4.86	1	1	1	1	1	1	1	1	1	1.795	5.12	3.185	1.37	1.055	10.97	1	1	1
ABHD12	1	12.805	1	7.69	11.09	8.24	7.51	8.53	9.51	12.62	5.645	5.8	4.7	1	1	1	1	108.065	7.82	1	1	11.21	58.08	58.685	11.64	20.54	10.45	9.025	10.735	15.265	15.715	15.9	16.415	3.47	10.54	14.13	12.965	10.92	20.155	13.03	11.435	38.475	33.685
ABHD14B	1	10.285	92.04	26.04	23.92	26.58	22.8	21.29	19.35	15.07	16.625	26.58	17.19	59.32	83.535	37.2	99.94	18.115	21.59	14.27	17.89	18.52	10.65	12.28	6.52	5.6	4.97	12.71	11.365	21.015	7.595	9.325	7.855	3.14	32.84	12.705	15.805	22.06	1.225	8.51	11.59	19.425	27.355
ABHD15	1	2.825	1	2.97	3.88	4.62	4.76	7.75	10.19	15.32	7.725	8.81	4.89	1	1	1	1.32	5.71	2.44	1	1.2	4.89	5.67	9.31	2.375	8.35	9.24	2.775	2.99	3.93	3.22	3.575	2.92	1.35	3.965	2.745	2.755	8.7	1	2.29	3.265	6.505	5.3
ABHD2	143.03	49.955	23.245	15.47	10.9	8.88	6.89	9.21	10.88	32.61	4.68	4.55	3.91	25.255	51.77	18.14	29.87	100.425	7.87	26.07	47.63	28.14	21.83	59.22	18.44	24.77	580.05	2.95	48.445	12.725	26.9	19.79	18.97	14.85	11.23	19.86	18.815	14.48	10.495	24.245	22.16	25.475	27.835
ABHD4	15.13	4.065	19.76	1.31	1.86	2.34	1.32	1.83	2.38	5.02	1.52	2.15	1.36	17.645	13.03	14.39	12.36	8.41	1.12	16.74	111.67	6.18	5.42	11.52	5.58	8.3	9.98	8.18	11.435	9.35	7.965	6.005	3.6	3.67	6.04	6.645	9.56	7.9	4.9	8.895	3.595	12.695	13.515
ABHD5	129.95	34.41	7.3	3.75	5.06	2.61	1.95	2.29	3.58	4.75	2.23	1.09	3.52	6.265	3.36	1	7.34	26.23	8.58	65.63	27.3	20.08	9.58	63.64	11.815	14.25	16.97	1.435	20.375	11.755	14.045	14.59	5.71	7.24	12.475	20.51	21.22	53.73	13.125	10.405	10.485	13.65	6.34
ABHD6	1	3.535	1	1.06	1	1.38	1.03	1.53	2.13	2.88	1.955	4.35	2.71	1	1	1	1	16.37	1	1	1	1.46	8.77	20.15	3.215	5.64	4.78	1	1.9	2.825	3.33	3.725	18.3	2.33	2.8	5.475	2.39	5.83	25.085	2.92	2.475	7.57	3.535
ABI3	1	11.515	1	1.73	2.78	1.71	2.33	14.19	20.41	50.46	1.925	5.48	1.72	1	1	1	1.89	22.885	3.17	1	1	1	5.55	1	7.455	3.21	1.06	9.585	1	1	1	1	1	1	1	22.095	1	1.66	1	1.11	1	1.085	1
ABI3BP	1	1	1	1	1	1	1	1	1	1	1	1	1	4.665	1	1	1	1	1	1	1	1	1	1	5.07	1	1	1	214.21	7.565	4.58	1	1	5.82	1.39	3.62	45.21	34.62	1.015	1.4	26.735	1	1
ABL2	1.83	3.315	1.35	7.55	2.96	3.29	1.91	2.49	3.82	2.26	3.555	2.63	1.75	2.37	2.925	1.27	4.13	23.635	3.35	2.84	3.89	4.73	29.65	30.92	45.375	16.66	1.15	1.19	38.49	9.21	16.38	11.39	43.375	1.83	6.42	22.67	21.89	10.31	3.015	20.89	34.76	10.355	11.23
ABLIM1	1	1.325	37.08	119.43	33.7	43.09	25.93	28.7	25.58	25.55	28.42	21.36	13.36	34.705	34.66	35.19	46.93	1	126.34	3.23	17.91	1.8	1.05	1.075	29.69	3.1	1.91	16.14	10.5	2.46	1.92	22.32	1	34.34	23.77	19.485	4.21	40.46	119.48	1.855	2.19	2.855	10.185
ABLIM2	1	1	1	1	1	1	1	1	1.18	1	1.055	1.02	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.9	1	1.615	1.125	3.41	24.985	1	1	1	3.2
ABLIM3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.4	1	1.09	2.93	11.805	1	1	1	1.21	10.485	6.635	7.895	1.955	13.44	3.575	21.75	14.005	20.81	3.245	15.03	24.24	12.01	2.99
ABO	1	1	9.055	1	1	1	1	1	1	1	1	1	1	6.435	9.575	2.3	4.2	1	1	1	3.01	1	1	1	1	1	9.57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABRA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22.26	1	1	1	1	1	1	1	1	1
ABTB1	145.92	15.59	18.73	18.71	20.37	12.93	8.85	11.29	15.34	12.01	12.83	10.94	8.78	12.285	9.755	1	9.16	6.17	14.79	2.76	4.76	14.1	2.82	4.91	3.08	12.82	212.32	27.245	2.97	5.67	3.935	2.665	1.5	7.38	8.08	3.065	2.78	8.88	1	4.005	2.99	4.62	10.275
ABTB2	1.38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.68	1	1	1	23.08	49.62	1	1	1.525	1.315	3.035	2.31	2.7	1.445	1	1.85	1	1	4.46	1	3.39	3.295
ACAA2	1	19.53	104.455	12.25	11.4	7.84	8.78	12.23	18.75	30.87	4.91	8.57	6.85	56.24	40.76	78.16	70.4	95.42	12.53	76.39	19.79	26.41	73.93	321.69	16.995	31.54	7.67	7.74	29.3	20.735	14.435	21.345	14.885	20.13	10.545	19.32	22.59	33.52	8.06	14.595	15.24	27.515	31.96
ACACB	1.16	1.68	1.9	8.78	3.96	4.32	2.69	2.69	4.79	1.09	4.91	4.03	3.24	1	1.345	1	1.82	3.08	1.32	1	1	14.8	1	1.64	1.18	1.78	86.42	4.88	3	1.675	2.13	1.035	3.245	200.54	1	1.045	1.09	309.94	1	1.23	1.57	1	1.15
ACAD11	1	5.145	14.84	23.43	5.44	8.22	4.83	4.83	8.96	5.18	9.535	7.05	7.71	15.84	4.74	9.24	20.98	7.84	14.01	3.19	7.7	10.55	3.42	4.09	7.56	12.67	4.75	30.63	14.025	9.14	18.305	8.54	8.475	2.35	16.61	8.305	8.86	12.67	2	10.235	8.995	18.535	5.01
ACADVL	63.92	151.325	46.97	104.12	70.79	82.17	68.28	74.61	129.68	125.05	72.365	80.8	46.25	32.745	37.53	44.13	42.59	410.875	112.15	28.96	28.58	226.42	129.22	427.13	83.785	175.26	326.11	422.16	71.49	107.67	96.085	116.345	43.57	241.97	109.565	99.64	161.815	190.77	28.415	51.26	67.15	291.705	152.415
ACAP1	88.78	30.56	82.74	176.43	167	191.12	162.95	142.31	180.89	102.55	87.12	99.71	65.11	59.755	50.62	42.88	44.7	13.055	189.13	16.23	7.91	65.02	11.27	8.21	1	14.58	329.93	54.375	1	1	1	1	1	1	2.49	1	1.81	1.16	2.29	1	1	1	1
ACAT1	1	9.435	56.485	14	14.9	14.06	13.43	16.45	18.97	7.6	7.015	10.42	11.84	20.22	38.89	22.6	47.89	40.34	6.93	168.71	16.56	28.24	36.93	31.26	40.575	8.88	1.53	8.925	35.265	36.54	37.59	32.74	23.54	102.43	52.83	83.95	21.975	59.68	130.625	13.42	24.96	52.245	35.97
ACAT2	1.8	7.395	82.35	10.32	11.99	9.37	10.06	7.78	9.95	9.79	5.685	6.36	4.15	43.25	31.565	59.96	37.78	110.825	10.65	529.36	207.81	25.97	134.07	402.675	15.06	60.51	5.36	2.68	6.195	15.73	21.59	20.5	25.25	1.05	103.365	16.26	4.4	2.47	15.225	25.895	35.4	15.285	14.865
ACBD4	1	1.18	1	9.11	5.47	6.36	4.51	4.97	5.81	2.8	5.875	5.54	4.54	1.46	1	1	1.06	3.295	5.94	1	1.18	3.8	1.22	1.845	1.78	2.78	7.87	18.155	1.81	2.345	2.515	2.335	2.22	1	2.065	1.745	1.295	2.28	1	1.63	1.655	1.05	3.45
ACCS	1	6.615	24.025	12.3	10.27	12.57	7.58	2.3	6.44	4.01	13.765	14.4	10.79	19.485	23.765	1	35.99	6.72	11.15	5.73	36.46	34.45	1.56	2.145	2.765	8.99	120.19	7.06	4.72	4.42	3.555	2.1	6.215	1.02	1	2.52	1.37	7.06	1	2.24	3.055	8.765	3.915
ACE	1	1	1	1	1	1.9	2.28	2.98	2.25	1	1	1.88	1	1.055	1	1	1	14.695	1	1	1	1	1.19	1.715	21.05	7.2	1	1	1	2.34	1.775	1	1	1.49	1	13.79	1	3.56	1	1	17.34	1.55	1
ACER3	2.24	13.75	5.36	2.32	1.29	1.25	1	1.32	1.9	1.75	2.115	1.12	1.37	1.92	1.38	6.17	14.32	23.505	2.25	10.12	67.08	5.47	16.23	29.965	9.285	11.42	7.79	1.215	4.265	4.34	2.645	5.555	4.525	1	23.315	10.19	2.04	6.35	7.87	5.64	3.33	12.555	6.685
ACHE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.04	1	1	1	1	1	1	1	4.37	1	1	1	1	1	1	1	2.01	1
ACO1	1	2.065	5.34	2.66	1.14	1.52	1	1.73	1.79	2.54	1.4	1.28	1	1.125	6.6	1	7.77	25.115	2.11	7.74	6.68	5.84	74.01	45.585	21.65	8.84	1	1.835	45.085	31.83	31.895	17.07	11.975	8.21	18.065	33.175	23.76	44.04	2.355	60.98	26.41	43.245	29.67
ACOT11	1	1	1	1	1	1	1	1	1	1	1	1	1	2.595	2.175	1	2.64	5.715	1	1	1.86	7.46	3.16	1	1.325	1	33.1	1	2.305	1	1.355	1.22	1.2	1	3.6	1.47	2.165	1	1	1	1.01	1	1.145
ACOT13	2.19	1.84	39.055	3.08	1.69	1.38	1.23	1.33	1.76	1.85	1.125	1	1.06	50.24	21.35	22.96	31.75	52.005	3.39	70.42	56.17	8.37	33.32	62.27	2.79	20.23	1	4.21	5.13	3.05	3.33	3.55	2.29	2.91	6.62	2.58	3.045	2.32	66.175	1.475	1.97	3.985	2.565
ACOT2	1	1.5	5.615	4.19	5.59	4.91	3.27	4.08	4.74	7.1	2.17	3.34	2.68	3.755	6.88	6.22	5.39	49.185	3.11	5.3	5.91	2.97	47.29	30.795	4.885	8.92	1.09	2.47	10.295	22.805	10.635	5.7	19.39	13.69	5.98	9.045	12.125	27.97	16.355	10.515	7.82	25.455	22.14
ACOT4	1	1	1	1	1	1	1	1	1	1.37	1	1	1	1	1	1	1	2.94	1	1	1	1	4.04	9.58	1	1.09	1	1	1	1	1	1	1.455	1	1	1	1	1	1	1	1	2.945	1.205
ACOT7	1	1	35.96	1.33	3.63	2.28	2.79	3.19	2.89	6.16	1.155	1	1	8.525	14.8	8.81	29.58	6.865	2.9	19.58	3.54	2.93	24.57	39.04	15.585	25.2	1	1	10.025	8.68	12.055	27.66	37.33	1.04	83.815	31.91	18.28	2.54	101.62	18.24	9.11	39.73	42.155
ACOX2	1	1	4.96	1	1	1	1	1	1	1	1	1	1	8.52	3.465	1	1	6.65	1	1	1	1	5.03	15.83	1	1	1	1	2.915	5.78	8.04	1	1	1.97	1	1	2.745	4.54	1	1.62	6.365	1.425	1.045
ACOXL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACP1	1.54	25.775	210.39	64.92	41.79	38.63	30.92	34.48	40.46	42.94	35.725	27.83	26.56	284.255	244.335	434.73	228.08	53.76	60.95	218.12	180.24	49.51	55.54	54.64	38.595	27.76	8.43	23.645	31.985	33.71	33.85	43.075	22.58	19.67	46.37	38.905	33.325	18.03	155.485	26.11	21	47.545	33.81
ACP2	1.67	4.45	6.425	4.42	4.32	4.75	2.88	3.99	4.32	3.12	2.12	1.88	1	3.125	2.475	1	1.06	81.67	1.8	7.88	9.05	7.13	120.19	32.56	12.4	22.54	9.45	32.48	11.275	12.93	8.16	13.755	12.91	4.41	12.145	17.185	10.4	12.29	5.245	17.19	9.175	68.745	24.675
ACP5	1	16.76	1	13.39	16.6	9.96	7.24	8.69	10.01	10.21	13.45	65.02	65.24	1	1	1	1	1199.435	8.47	1	1.91	1	420.15	979.9	1	41.89	18.06	4.24	1	1	1	2	41.055	1	14.325	1	1	13.19	1	3.635	1	1.145	4.635
ACPP	23.31	19.675	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.345	1	1	1	2.25	3.18	2.07	1	1.57	60.27	1.01	1	1	1	1	1	1	1	1	1	1	1	4.25	9.215	1.77	1
ACRBP	1.48	6.925	18.12	1.09	1	1	1	1	1	1	1.085	1	1	18.5	26.425	8.24	17.54	1.81	1.47	2.49	54.17	5.89	1	1	1	1	13.71	1.395	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.65
ACSL1	737.139999999999	143.59	17.655	3.98	3.65	1.68	1.72	2.69	3.43	3.36	3.53	4.03	4.28	12.115	17.905	8.9	14.79	205.93	6.24	13.55	6.64	53.05	426.98	253.89	7.605	81.9	14.99	6.465	9.95	9.825	12.605	17.95	22.33	372.28	4.695	5.745	22.615	310.18	12.105	8.3	25.19	8.88	31.31
ACSL3	25.28	20.43	9.365	18.4	4.68	6.68	5.04	7.33	13.64	12.71	11.015	7.6	6.36	13.755	5.15	5.77	19.38	70.99	14.85	27.01	10.73	20.09	53.42	73.04	47.96	89.23	15.73	4.1	39.96	39.52	47.97	61.13	184.645	11.89	49.225	39.625	36.99	11.53	79.86	55.38	47.885	65.16	45.23
ACSL6	1	1	1	24.04	2.27	11.55	10.51	14.38	14.99	1	1	1	1	1	1	1	1	1	5.01	6.96	1	1	1.03	1.935	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.645	1	1	1	1
ACSM3	1	2.435	38.3	6.75	1.66	3.79	2.74	2.34	1.77	1.99	12.23	5.08	1.58	16.975	27.455	11.75	21.34	1	4.33	29.68	3.98	64.42	1	1.125	2.415	4.02	37.48	1.335	1	1	1	1.1	1	1	1.155	1	1	1.19	1	1	1	1	4.1
ACSM5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.275	1	1	1	1	1	3.345	1	1	1	1	1	1	1	1	1	1.44	1	1	1.775	7.96	1	1	1.71	1	1
ACSS1	1	3.765	9.715	12.82	11.46	10.97	8.43	14.24	19.15	19.82	23.205	16.19	10.02	7.625	9.94	2.76	5.98	5.68	15.54	3.85	1.64	13.3	2.88	2.385	3.975	2	41.35	85.005	2.165	1.075	1.105	1.655	5.14	3.2	2.09	5.41	1	5.37	1.265	1	1.03	1	3.27
ACSS2	14.12	16.88	15.13	13	3.29	5.1	1.87	2.08	1	1	2.37	3.12	1.89	8.76	10.01	1	6.38	65.31	2.14	8.21	16.17	20.07	37.4	68.67	20.955	41.77	15.16	2.845	12.33	24.75	16.145	16.03	12.815	20.08	78.975	18.875	11.975	29.93	8.59	23.595	29.225	16	27.52
ACSS3	3.32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.32	1	1	1	1	1.51	1	4.575	5.515	5.155	1.04	1	2.14	2.135	1	1.695	27.86	1	1.83	2.14	9.475	3.075
ACTA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4696.1	1	1	26.96	1	1.125	1	1	1	1
ACTA2	1.18	1.115	1.225	1	3.47	1	1	1.23	2.24	1	1	1	1	1.325	4.77	1	7.08	6.715	1	1	1	16.06	4.72	15.29	4.17	8.73	1.16	1	13.935	86.775	80.64	7.92	7.41	22.72	9.935	18.045	349.46	31.24	1	144.045	13.615	2632.91	96.08
ACTG1	287.53	691.64	2351.865	343.27	848.1	537.09	543.54	536.68	529.11	764.09	269.785	285.29	264.02	1675.35	2822.68	2893.56	3005.01	1033.215	732.98	228.34	1353.59	1471.01	1518.11	924.52	3445.65	1001.04	1020.6	148.925	4087.535	2901.9	3382.475	3809.315	2389.66	134.75	4242.945	5263.41	1535.75	669.269999999999	441.6	6549.375	1995.33	6628.81	7422.69999999999
ACTL6A	1.63	7.025	30.3	24.7	17.33	17.55	14.29	17.52	16.91	13.33	12.235	13.75	15.08	24.65	18.15	33.36	32.22	26.68	15.92	129.87	56.9	22.23	18.4	17.565	27.89	14.21	9.01	8.44	14.62	16.02	16.08	37.545	14.785	6.18	51.785	44.19	15.32	8.51	4.425	18.88	13.675	62.695	22.81
ACTN1	196.32	33.08	10.255	54.63	10.03	13.35	2.64	4.39	1	1.04	1	1	1	6.63	11.055	8.11	13.35	71.02	78.87	6.9	74.99	132.66	93.6	156.48	120.695	53.85	191.94	1	83.225	152.035	120.67	191.065	43.205	5.02	375.02	195.37	112.645	30.81	7.55	239.385	45.715	296.735	397.425
ACTN2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	135.59	1	1	8.405	1	1	1	1	1	1
ACTN4	71.03	40.125	14.76	6.93	45.43	21.21	30.71	28.12	42.34	67.21	14.085	12.55	10.28	4.55	9.925	3.46	13.53	50.38	15.01	8.38	8.54	48.36	27.72	31.315	134	70.37	75.32	24.54	130.125	99.315	111.8	222.395	47.4	12.83	227.02	290.805	109.2	52.23	1.48	164.745	43.35	219.095	427.425
ACVR1C	1	1	1	3.38	1	1.64	1.02	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.19	1	1	1	1	1	1	1.025	1	1	1	1	14.45	1.24	1	1	1	1
ACVRL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.28	1	1	1	1	2.44	1.82	148.81	2.5	1	1	3.455	25.11	16.81	1.15	1	11.68	1	189.735	18.36	29.66	1	4.62	47.46	6.115	1.53
ACY1	1	2.545	93.155	2.6	1.67	2.09	1.92	3.17	2.51	4.31	2.76	3.55	2.23	19.23	33.19	35.11	41.61	13.27	3.5	17.57	12.04	4.57	7.93	6.23	5.335	14.93	1.1	2.59	7.705	18.115	12	26.785	14.555	6.6	86.87	6.025	20.65	8.94	1.255	14.205	18.875	29.59	29.315
ACY3	1	1	2.075	1	1	1	1	1	1	1	1	1	1	7.87	18.145	264.23	63.19	1	1	1	1	1	1	1	1	1	1	7.305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACYP1	1	1.83	36.265	13.2	8.96	7.98	6.95	5.05	7.55	7.31	7	8.3	6.34	33.525	14.85	35.79	21.59	6.155	10.67	58.74	32.99	13.31	5.36	7.265	3.565	6.6	1	3.905	3.65	3.24	3.22	3.785	5.415	3.86	10.87	7.94	2.83	2.99	140.43	2.02	3.485	7.185	6.915
ACYP2	1.9	4.165	27.39	7.79	4.89	5.24	3.58	4.85	6.24	7.45	10.485	10.31	6.06	20.935	15.465	29.67	29.8	4.565	10.74	5.55	17.97	8.99	4.26	5.76	3.24	4.09	7.42	7.63	6.015	5.295	4.615	4.015	1.905	24.81	3.955	2.4	9.58	5.99	409.705	1.795	2.89	10.95	5.5
ADA	1	6.755	51.3	12.77	11.63	11.12	10.61	9.44	13.04	24.54	1.065	1	1.19	40.51	42.505	183.32	101.05	5.25	24.2	5.76	2.92	43.49	12.9	4.79	9.7	2.38	1	37.8	2.775	5.95	3.865	8.07	2.02	1	25.925	5.565	3.33	4.08	1	2.815	5.845	10.57	13.205
ADAM10	90.23	94.07	17.595	48.91	28.4	22.8	16.91	14.01	24.87	37.04	24.365	14.98	13.08	15.8	11.455	16.66	33.08	164.255	70.98	17.79	259.26	65.38	89.51	89.165	92.415	39.95	57.66	22.255	73.385	62.64	84.065	55.605	47.415	10.35	28.255	65.365	64.92	16.59	11.2	61.265	40.605	58.01	79.94
